elapsed_seconds,aggregate_compiler_rss_bytes,active_compilers
66.135,2289270784,4
66.193,2339618816,4
66.251,2388508672,4
66.312,2436595712,4
66.372,2481979392,4
66.432,2527264768,4
66.492,2567471104,4
66.543,2602205184,4
66.601,2637283328,4
66.657,2670821376,4
66.717,2813476864,4
66.776,3058188288,4
66.832,3334963200,4
66.892,3598778368,4
66.952,3848814592,4
67.010,4142202880,4
67.065,4381736960,4
67.125,4603756544,4
67.183,4649058304,4
67.240,4697964544,4
67.298,4974755840,4
67.359,5271076864,4
67.418,5497077760,4
67.478,5642600448,4
67.532,5700943872,4
67.592,5746786304,4
67.643,5787058176,4
67.701,5826428928,4
67.759,5873614848,4
67.817,5923127296,4
67.876,5935579136,4
67.936,5948817408,4
67.997,5952978944,4
68.057,5957828608,4
68.117,5975064576,4
68.173,5985894400,4
68.234,5989990400,4
68.293,5995937792,4
68.350,5999886336,4
68.409,6014992384,4
68.466,4492230656,3
68.527,4497211392,4
68.588,4584521728,4
68.643,4621991936,4
68.700,4647976960,4
68.759,4674256896,4
68.818,4696293376,4
68.875,4717756416,4
68.936,4738416640,4
68.993,4763713536,4
69.049,3253190656,3
69.111,3273097216,4
69.168,3369222144,4
69.226,3413852160,4
69.285,3451961344,4
69.345,3493953536,4
69.398,3525754880,4
69.459,3558113280,4
69.515,3584327680,4
69.574,3611607040,4
69.634,3638280192,4
69.693,3663118336,4
69.751,3688841216,4
69.807,3710615552,4
69.867,3735289856,4
69.926,3767173120,4
69.980,3796418560,4
70.040,4050141184,4
70.098,4357062656,4
70.159,4591435776,4
70.218,4722556928,4
70.276,4750016512,4
70.336,3426910208,4
70.390,3476209664,3
70.452,3531669504,4
70.512,3884777472,4
70.573,4256727040,4
70.633,4516970496,4
