elapsed_seconds,aggregate_compiler_rss_bytes,active_compilers
67.980,5685297152,4
68.041,5715066880,4
68.101,5741903872,4
68.161,5764431872,4
68.220,5788073984,4
68.280,5809881088,4
68.336,5828296704,4
68.396,5846794240,4
68.457,5868437504,4
68.510,5888770048,4
68.571,5907496960,4
68.631,5925421056,4
68.691,5948915712,4
68.751,5968740352,4
68.803,5987450880,4
68.863,6003687424,4
68.923,3817340928,4
68.976,1098121216,3
69.038,1114030080,3
69.100,1212973056,4
69.160,1346011136,4
69.219,1424588800,4
69.280,1490534400,4
69.338,1546584064,4
69.397,1599979520,4
69.453,1647542272,4
69.513,1697251328,4
69.573,1740357632,4
69.634,1783185408,4
69.693,1823965184,4
69.753,1864728576,4
69.811,1903067136,4
69.871,1941454848,4
69.932,1982201856,4
69.989,2014625792,4
70.047,2053734400,4
70.106,2086174720,4
70.161,2117632000,4
70.221,2150924288,4
70.281,2185740288,4
70.336,2219130880,4
70.396,2250850304,4
70.453,2279538688,4
70.511,2309537792,4
70.571,2342699008,4
70.628,2608840704,4
70.688,3026501632,4
70.744,3539206144,4
70.805,3797073920,4
70.861,3830349824,4
70.921,3874717696,4
70.972,4011999232,4
71.032,4095295488,4
71.086,4566958080,4
71.146,5051006976,4
71.203,5597364224,4
71.263,5837619200,4
71.319,5869305856,4
71.380,5909053440,4
71.436,6021251072,4
71.496,6127845376,4
71.555,6160547840,4
71.616,6189137920,4
71.676,6276136960,4
71.728,6307381248,4
71.788,6326042624,4
71.848,6347751424,4
71.906,6363021312,4
71.961,3875471360,4
72.022,3884498944,3
72.084,3894853632,4
72.141,3978657792,4
72.195,4020174848,4
72.256,4060348416,4
72.314,4099112960,4
72.372,4129751040,4
72.428,1943076864,4
72.482,1967210496,3
72.543,1995751424,4
72.594,2089680896,4
72.654,2152513536,4
72.714,2204827648,4
72.772,2249687040,4
72.824,2286665728,4
72.884,2328199168,4
72.943,2366717952,4
73.003,2404827136,4
73.063,2439675904,4
73.124,2474360832,4
73.184,2507472896,4
73.236,2541797376,4
73.296,2575761408,4
73.356,2608889856,4
73.417,2638151680,4
73.477,2670247936,4
73.528,2696380416,4
73.584,2728214528,4
73.639,2753691648,4
73.699,2768535552,4
